retrofit,heating_system,baseline_heating_btu,post_retrofit_btu,intensity_reduction_pct,retrofit_cost,hp_cost,total_capital,retrofit_annual,hp_annual_capital,annual_op_cost,total_annual_cost,annual_emissions_kg,annual_emissions_tons,household_id,envelope_class,hdd,heated_sqft,scenario_id
Attic Insulation,Standard Heat Pump,36006.50199999993,30605.526699999933,15.0,1800.0,12000.0,13800.0,117.09258314449782,1156.1074513109318,0.5671211882193498,1273.767155643649,1.5879393270141793,0.0015879393270141792,111574,poor,5255,1200,attic_insulation_standard_hp
Attic Insulation,Cold Climate Heat Pump,36006.50199999993,30605.526699999933,15.0,1800.0,18000.0,19800.0,117.09258314449782,1734.1611769663978,0.46840557669291805,1851.7221656875886,1.3115356147401707,0.0013115356147401706,111574,poor,5255,1200,attic_insulation_cold_climate_hp
Comprehensive Retrofit,Gas Furnace,36006.50199999993,25204.551399999942,30.0,6000.0,0.0,6000.0,425.71474379537756,0.0,0.37806827099999907,426.0928120663776,1.669801530249996,0.001669801530249996,111574,poor,5255,1200,comprehensive_none
Comprehensive Retrofit,Standard Heat Pump,36006.50199999993,25204.551399999942,30.0,6000.0,12000.0,18000.0,425.71474379537756,1156.1074513109318,0.4670409785335821,1582.2892360848427,1.30771473989403,0.0013077147398940301,111574,poor,5255,1200,comprehensive_standard_hp
Comprehensive Retrofit,Cold Climate Heat Pump,36006.50199999993,25204.551399999942,30.0,6000.0,18000.0,24000.0,425.71474379537756,1734.1611769663978,0.38574576904122665,2160.2616665308165,1.0800881533154347,0.0010800881533154347,111574,poor,5255,1200,comprehensive_cold_climate_hp
No Retrofit,Gas Furnace,24651.535999999956,24651.535999999956,0.0,0.0,0.0,0.0,0.0,0.0,0.3697730399999993,0.3697730399999993,1.633164259999997,0.001633164259999997,115856,good,2645,900,none_none
No Retrofit,Standard Heat Pump,24651.535999999956,24651.535999999956,0.0,0.0,12000.0,12000.0,0.0,1156.1074513109318,0.3096407971864004,1156.4170921081181,0.8669942321219212,0.0008669942321219211,115856,good,2645,900,none_standard_hp
No Retrofit,Cold Climate Heat Pump,24651.535999999956,24651.535999999956,0.0,0.0,18000.0,18000.0,0.0,1734.1611769663978,0.2709356975381003,1734.4321126639359,0.758619953106681,0.0007586199531066809,115856,good,2645,900,none_cold_climate_hp
No Retrofit,Gas Furnace,39421.96299999998,39421.96299999998,0.0,0.0,0.0,0.0,0.0,0.0,0.5913294449999996,0.5913294449999996,2.6117050487499984,0.0026117050487499986,114448,medium,7415,980,none_none
No Retrofit,Standard Heat Pump,39421.96299999998,39421.96299999998,0.0,0.0,12000.0,12000.0,0.0,1156.1074513109318,0.8665437353458377,1156.9739950462777,2.426322458968346,0.002426322458968346,114448,medium,7415,980,none_standard_hp
